"Count","Timestamp","Bridge","Status","Source"
"2","20:35:05.3578155","Ποσειδωνία","Ανοικτή","https://www.topvision.gr/dioriga/image-bridge-open-no-schedule.php?1726076105"
"4","20:35:05.3579985","Ισθμία","Ανοικτή","https://www.topvision.gr/dioriga/image-bridge-open-no-schedule.php?1726076105"
